,p,premium,agent_commission
1071,0.5,7500,2000
1072,0.97,22200,2000
1073,1.0,5400,2000
1074,0.94,60000,2000
1075,1.0,11700,2000
1076,1.0,11700,2000
1077,1.0,11700,2000
1078,0.92,1200,2000
1079,1.0,13800,2000
1080,0.96,9600,2000
1081,1.0,9600,2000
1082,0.8,18000,2000
1083,1.0,9600,2000
1084,0.94,15900,2000
1085,0.97,22200,2000
1086,0.98,1200,2000
1087,0.89,26400,2000
1088,0.99,13800,2000
1089,0.96,13800,2000
1090,0.88,1200,2000
1091,1.0,5400,2000
1092,0.97,1200,2000
1093,0.94,1200,2000
1094,0.95,3300,2000
1095,0.95,11700,2000
1096,0.98,7500,2000
1097,0.94,26400,2000
1098,1.0,11700,2000
1099,0.97,3300,2000
1100,0.99,13800,2000
1101,1.0,9600,2000
1102,0.99,1200,2000
1103,0.84,20100,2000
1104,0.91,5700,2000
1105,0.97,3300,2000
1106,0.94,9600,2000
1107,0.99,13800,2000
1108,0.98,7500,2000
1109,1.0,11700,2000
1110,0.98,57900,2000
1111,1.0,22200,2000
1112,1.0,22200,2000
1113,0.98,7500,2000
1114,0.88,3300,2000
1115,0.96,1200,2000
1116,0.42,5700,2000
1117,1.0,13800,2000
1118,0.94,3300,2000
1119,1.0,13800,2000
1120,0.98,3300,2000
1121,0.98,1200,2000
1122,0.97,18000,2000
1123,0.97,5700,2000
1124,0.99,15900,2000
1125,1.0,9600,2000
1126,0.99,28500,2000
1127,0.87,3300,2000
1128,0.8,9600,2000
1129,0.86,9600,2000
1130,0.99,5400,2000
1131,0.96,5400,2000
1132,1.0,15900,2000
1133,0.63,1200,2000
1134,0.97,11700,2000
1135,0.93,9600,2000
1136,1.0,13800,2000
1137,0.98,11700,2000
1138,1.0,5700,2000
1139,0.96,7500,2000
1140,1.0,24300,2000
1141,1.0,7500,2000
1142,0.98,7500,2000
1143,0.99,5400,2000
1144,0.99,7500,2000
1145,0.99,11700,2000
1146,1.0,7500,2000
1147,0.98,3300,2000
1148,1.0,13800,2000
1149,1.0,13800,2000
1150,1.0,15900,2000
1151,0.95,7500,2000
